NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
6032868,5596,PRN,7198,Dyfed Historic Environment Record
6028500,5636,LB2,10699,Cadw
6029007,5639,LB2,10245,Cadw
6028659,5646,LB2,17138,Cadw
6027041,5684,LB2,9792,Cadw
6029003,5705,LB2,10270,Cadw
6029002,5706,LB2,10275,Cadw
6029001,5708,LB2,10276,Cadw
6029000,5709,LB2,10277,Cadw
6028999,5710,LB2,10278,Cadw
6028998,5711,LB2,10279,Cadw
6028997,5712,LB2,10280,Cadw
6028996,5713,LB2,10268,Cadw
6028992,5717,LB2,10274,Cadw
6028991,5718,LB2,10274,Cadw
6028988,5721,LB2,10282,Cadw
6028986,5723,LB2,10284,Cadw
6028985,5724,LB2,10285,Cadw
6028983,5727,LB2,10287,Cadw
6028976,5734,LB2,10289,Cadw
6028975,5735,LB2,10290,Cadw
6028974,5736,LB2,10290,Cadw
6028973,5737,LB2*,10291,Cadw
6028972,5738,LB2,10292,Cadw
6028971,5739,LB2,10293,Cadw
6028962,5748,LB2,10295,Cadw
6028961,5749,LB2,10296,Cadw
6028960,5750,LB2,10297,Cadw
6028959,5751,LB2,10298,Cadw
6028958,5752,LB2,10299,Cadw
6028957,5753,LB2,10300,Cadw
6027206,5767,LB2,10026,Cadw
6027204,5769,LB2,10028,Cadw
6027198,5775,LB2,10032,Cadw
6027194,5779,LB2,10035,Cadw
6027193,5780,LB2,10036,Cadw
6027192,5781,LB2,10037,Cadw
6027298,5784,LB2,10041,Cadw
6027297,5785,LB2,10042,Cadw
6027296,5786,LB2,10043,Cadw
6027295,5787,LB2,10044,Cadw
6027294,5788,LB2,5788,Cadw
6029124,5789,LB2,10236,Cadw
6029123,5790,LB2,10304,Cadw
6029122,5791,LB2,10305,Cadw
6029121,5792,LB2,10306,Cadw
6029120,5793,LB2,10301,Cadw
6029119,5794,LB2,10302,Cadw
6029118,5795,LB2,10303,Cadw
6027291,5798,LB2,10048,Cadw
6028558,5816,LB2*,9801,Cadw
6030920,5824,LB2,9857,Cadw
6027058,5838,LB2,9776,Cadw
6032878,5842,SAM,CD145,Cadw
6029114,5844,LB2,10352,Cadw
6029112,5846,LB2,10316,Cadw
6029111,5847,LB2,10317,Cadw
6029110,5848,LB2,10318,Cadw
6029109,5849,LB2,10319,Cadw
6029108,5850,LB2,10320,Cadw
6029107,5851,LB2,10321,Cadw
6029106,5852,LB2,10323,Cadw
6029105,5853,LB2,10324,Cadw
6029104,5854,LB2,10325,Cadw
6029103,5855,LB2,10326,Cadw
6029102,5856,LB2,10327,Cadw
6029101,5857,LB2,10328,Cadw
6029100,5858,LB2,10329,Cadw
6029099,5859,LB2,10330,Cadw
6029059,5900,LB2,10337,Cadw
6029055,5905,LB2,10338,Cadw
6029054,5906,LB2,10339,Cadw
6029053,5907,LB2,10340,Cadw
6029052,5908,LB2,10341,Cadw
6029162,5910,LB2,10331,Cadw
6029161,5911,LB2,10332,Cadw
6029160,5912,LB2,10333,Cadw
6029159,5913,LB2,10334,Cadw
6029158,5914,LB2,10335,Cadw
6029157,5915,LB2,10336,Cadw
6027277,5940,LB2,10062,Cadw
6027274,5943,LB2,10066,Cadw
6041306,6002,LB2,6945,Cadw
6041305,6004,LB2,7083,Cadw
6041304,6005,LB2,6953,Cadw
6041303,6007,LB2,7104,Cadw
6042024,6032,LB2,25657,Cadw
6047279,6034,LB2,7179,Cadw
6039497,6039,LB2,21317,Cadw
6039496,6040,LB2,11513,Cadw
6048351,6048,LB2,61,Cadw
6042025,6062,LB2,19376,Cadw
6036139,6065,LB2,19375,Cadw
6042343,6091,LB2,7428,Cadw
6042350,6092,LB2,7451,Cadw
6042344,6093,LB2,7444,Cadw
6044262,6102,LB2,20653,Cadw
6036140,6108,LB2,23031,Cadw
6044172,6117,LB2,20304,Cadw
6048087,6125,LB2,6618,Cadw
6034318,6131,LB2,19377,Cadw
6044507,6134,LB2,16695,Cadw
6035812,6137,LB2,19378,Cadw
6035170,6151,LB2,21371,Cadw
6035936,6154,LB2,7499,Cadw
6041868,6155,LB2,19374,Cadw
6044422,6171,LB2,14428,Cadw
6048074,6172,LB2,17069,Cadw
6029719,6227,LB2,19221,Cadw
6026625,6231,LB2,9432,Cadw
6026607,6232,LB2*,9488,Cadw
6026608,6234,LB2,9549,Cadw
6026622,6235,LB2,9481,Cadw
6026621,6237,LB2*,9741,Cadw
6026617,6241,LB2,9612,Cadw
6026614,6245,LB2,9616,Cadw
6026613,6246,LB2,9498,Cadw
6026612,6247,LB2,9500,Cadw
6025709,6250,LB2,9704,Cadw
6025710,6251,LB2,9713,Cadw
6025701,6252,LB2,9701,Cadw
6024900,6254,LB2,14221,Cadw
6024677,6257,LB2,14238,Cadw
6024679,6260,LB2,9744,Cadw
6032317,6262,LB2,16973,Cadw
6032320,6267,LB2,21416,Cadw
6032318,6269,LB2,23,Cadw
6023934,6271,LB2,22501,Cadw
6023992,6272,LB2,22502,Cadw
6030047,6294,LB2,16237,Cadw
6030294,6296,LB2,16266,Cadw
6030036,6329,LB2,11085,Cadw
6030033,6334,LB2,11073,Cadw
6029722,6342,LB2*,11168,Cadw
6029916,6347,LB2,15185,Cadw
6032146,6365,LB2,11015,Cadw
6032145,6366,LB2,11017,Cadw
6032143,6368,LB2,11018,Cadw
6026368,6387,LB2,22271,Cadw
6023994,6393,LB2,18872,Cadw
6028039,6416,LB2,22275,Cadw
6027727,6419,LB2,11924,Cadw
6027725,6424,LB2,11934,Cadw
6052971,6427,LB2,11910,Cadw
6027722,6429,LB2*,11900,Cadw
6052954,6433,LB2,11932,Cadw
6027720,6434,LB2,11887,Cadw
6027719,6437,LB2,11933,Cadw
6027718,6438,LB2,11958,Cadw
6027717,6439,LB2,11967,Cadw
6027714,6443,LB2,11906,Cadw
6027712,6445,LB2,24,Cadw
6027708,6452,LB2,11921,Cadw
6027704,6458,LB2,20529,Cadw
6025940,6461,LB2,20536,Cadw
6027703,6462,LB2,20546,Cadw
6034425,6475,LB2,21396,Cadw
6026840,6486,LB2,18871,Cadw
6026882,6487,LB2,22266,Cadw
6024650,6542,LB2,24442,Cadw
6026954,6558,LB2,22263,Cadw
6030095,6580,LB2*,22122,Cadw
6030094,6582,LB2,22116,Cadw
6030087,6585,LB2,16005,Cadw
6025308,6588,LB2,9407,Cadw
6025308,6588,SAM,CM250,Cadw
6032140,6609,LB2,22392,Cadw
6026080,6621,LB2,20544,Cadw
6024495,6653,LB2,25489,Cadw
6024494,6654,LB2,25477,Cadw
6030171,6658,LB2,11137,Cadw
6030170,6659,LB2,15771,Cadw
6024739,6662,LB2,9758,Cadw
6000195,6672,LB2*,20009,Cadw
6005045,6691,LB2,4132,Cadw
6005029,6714,LB2,4057,Cadw
6006919,6733,LB2,18384,Cadw
6006918,6735,LB2,4145,Cadw
6007429,6736,LB2,22947,Cadw
6006925,6751,LB1,18387,Cadw
6000625,6764,LB2,4256,Cadw
6009381,6768,LB2,3168,Cadw
6009383,6770,LB2,17017,Cadw
6009078,6786,LB2,3276,Cadw
6009077,6787,LB2,3273,Cadw
6009075,6789,LB2,3271,Cadw
6004057,6792,LB2,15374,Cadw
6002232,6793,LB2,4608,Cadw
6002222,6794,LB2,15371,Cadw
6004056,6796,LB2,15364,Cadw
6001247,6800,LB2,4489,Cadw
6001246,6801,LB2,4568,Cadw
6001244,6803,LB2,4586,Cadw
6001243,6804,LB2,4544,Cadw
6008818,6825,LB2,18244,Cadw
6008815,6830,LB2,18246,Cadw
6009353,6833,LB2,3155,Cadw
6000500,6845,LB2,19973,Cadw
6000330,6847,LB2,20054,Cadw
6001507,6852,LB2,22010,Cadw
6002932,6863,LB2,3822,Cadw
6002917,6864,LB2,4152,Cadw
6002918,6866,LB2,3859,Cadw
6002924,6869,LB2,18962,Cadw
6003166,6870,LB2,4143,Cadw
6002930,6877,LB2,3850,Cadw
6004455,6883,LB2,21848,Cadw
6009808,6897,LB2,3434,Cadw
6009816,6898,LB2,5810,Cadw
6009810,6904,LB2,3371,Cadw
6004794,6938,LB2,19954,Cadw
6001443,6972,LB2,20136,Cadw
6009382,6973,LB2,17708,Cadw
6000560,6974,LB1,4303,Cadw
6000558,6978,LB2,19626,Cadw
6002670,7006,LB2,23705,Cadw
6002673,7012,LB2,23708,Cadw
6009813,7038,LB2,3398,Cadw
6009812,7041,LB2,5825,Cadw
6002226,7056,LB2,4624,Cadw
6000629,7065,LB2,19336,Cadw
6000657,7071,LB2,19979,Cadw
6008754,7080,LB2,5915,Cadw
6004614,7087,LB2,18906,Cadw
6000412,7095,LB2,20024,Cadw
6008950,7103,LB2,16924,Cadw
6000554,7104,LB2,4383,Cadw
6004462,7110,LB2,22050,Cadw
6003871,7128,LB1,4442,Cadw
6027190,7132,LB2,10156,Cadw
6027188,7134,LB2,10130,Cadw
6024815,7138,LB2,16083,Cadw
6024221,7139,LB2,10478,Cadw
6024219,7141,LB2*,10545,Cadw
6024218,7142,LB2,10510,Cadw
6024217,7143,LB2,10508,Cadw
6029138,7147,LB2,10181,Cadw
6029137,7148,LB2,10179,Cadw
6029136,7149,LB2,10180,Cadw
6029131,7157,LB2,10375,Cadw
6029128,7160,LB2,10322,Cadw
6029127,7161,LB2,10188,Cadw
6029126,7162,LB2,10246,Cadw
6024806,7167,LB2,16097,Cadw
6024998,7173,LB2,16077,Cadw
6030341,7184,LB2,18482,Cadw
6025745,7192,LB2,10828,Cadw
6025744,7193,LB2,10799,Cadw
6025743,7194,LB2,10771,Cadw
