NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
,506948,UKHO ID,8157,UK Hydrographic Office
,506947,UKHO ID,8156,UK Hydrographic Office
,506940,UKHO ID,8155,UK Hydrographic Office
,240196,UKHO ID,8154,UK Hydrographic Office
,271387,UKHO ID,8148,UK Hydrographic Office
,506956,UKHO ID,8144,UK Hydrographic Office
,271604,UKHO ID,8140,UK Hydrographic Office
,506955,UKHO ID,8139,UK Hydrographic Office
,506944,UKHO ID,8131,UK Hydrographic Office
,271774,UKHO ID,8124,UK Hydrographic Office
,405760,UKHO ID,8119,UK Hydrographic Office
,506879,UKHO ID,7965,UK Hydrographic Office
,506911,UKHO ID,7956,UK Hydrographic Office
,271181,UKHO ID,7954,UK Hydrographic Office
,506901,UKHO ID,7953,UK Hydrographic Office
,506905,UKHO ID,7951,UK Hydrographic Office
,506906,UKHO ID,7951,UK Hydrographic Office
,506907,UKHO ID,7950,UK Hydrographic Office
,506913,UKHO ID,7949,UK Hydrographic Office
,272253,UKHO ID,7946,UK Hydrographic Office
,240911,UKHO ID,7929,UK Hydrographic Office
,506917,UKHO ID,7918,UK Hydrographic Office
,506918,UKHO ID,7913,UK Hydrographic Office
,271195,UKHO ID,7880,UK Hydrographic Office
,506920,UKHO ID,7848,UK Hydrographic Office
,506915,UKHO ID,7834,UK Hydrographic Office
,271182,UKHO ID,7779,UK Hydrographic Office
,271773,UKHO ID,7711,UK Hydrographic Office
,271172,UKHO ID,7701,UK Hydrographic Office
,271169,UKHO ID,7693,UK Hydrographic Office
,271443,UKHO ID,7620,UK Hydrographic Office
,271171,UKHO ID,7562,UK Hydrographic Office
,506935,UKHO ID,7550,UK Hydrographic Office
,240599,UKHO ID,7516,UK Hydrographic Office
,240531,UKHO ID,7507,UK Hydrographic Office
,271608,UKHO ID,7502,UK Hydrographic Office
,240015,UKHO ID,7501,UK Hydrographic Office
,525230,UKHO ID,7496,UK Hydrographic Office
,272248,UKHO ID,7494,UK Hydrographic Office
,240642,UKHO ID,7493,UK Hydrographic Office
,240643,UKHO ID,7491,UK Hydrographic Office
,271898,UKHO ID,7472,UK Hydrographic Office
,506833,UKHO ID,7467,UK Hydrographic Office
,403595,UKHO ID,7466,UK Hydrographic Office
,506745,UKHO ID,7463,UK Hydrographic Office
,507008,UKHO ID,7457,UK Hydrographic Office
,302168,UKHO ID,7456,UK Hydrographic Office
,240646,UKHO ID,7454,UK Hydrographic Office
,518580,UKHO ID,7447,UK Hydrographic Office
,506362,UKHO ID,7446,UK Hydrographic Office
,506355,UKHO ID,7444,UK Hydrographic Office
,506354,UKHO ID,7441,UK Hydrographic Office
,506353,UKHO ID,7439,UK Hydrographic Office
,240648,UKHO ID,7438,UK Hydrographic Office
,272209,UKHO ID,7437,UK Hydrographic Office
,272121,UKHO ID,7436,UK Hydrographic Office
,240664,UKHO ID,7433,UK Hydrographic Office
,240890,UKHO ID,7431,UK Hydrographic Office
,506834,UKHO ID,7430,UK Hydrographic Office
,240788,UKHO ID,7429,UK Hydrographic Office
,271301,UKHO ID,7428,UK Hydrographic Office
,506861,UKHO ID,7424,UK Hydrographic Office
,506783,UKHO ID,7421,UK Hydrographic Office
