ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source,ResourceID
20fa968b-3fc5-464f-92fb-4d8141615df9,UKHO ID,11918,UK Hydrographic Office,20fa968b-3fc5-464f-92fb-4d8141615df9
21d3ed2d-e058-4b57-a01e-645038499872,UKHO ID,8211,UK Hydrographic Office,21d3ed2d-e058-4b57-a01e-645038499872
220472f9-071a-410d-8528-88c8d5339d7a,UKHO ID,7066,UK Hydrographic Office,220472f9-071a-410d-8528-88c8d5339d7a
2224de07-88dd-4d5a-aed1-59ced1403163,UKHO ID,10005,UK Hydrographic Office,2224de07-88dd-4d5a-aed1-59ced1403163
222a177c-6406-482a-b812-88e174e37462,UKHO ID,11973,UK Hydrographic Office,222a177c-6406-482a-b812-88e174e37462
22b64a2e-ac70-4d3a-8635-a1a43b7cfaa0,UKHO ID,6986,UK Hydrographic Office,22b64a2e-ac70-4d3a-8635-a1a43b7cfaa0
2306240c-9160-4f04-be5e-d90862be2cc5,UKHO ID,12086,UK Hydrographic Office,2306240c-9160-4f04-be5e-d90862be2cc5
23a187f5-cfee-47a0-b6c0-ccab94d89b35,UKHO ID,12024,UK Hydrographic Office,23a187f5-cfee-47a0-b6c0-ccab94d89b35
2424cf73-8586-4fe8-a66e-068115c4f7ff,UKHO ID,11639,UK Hydrographic Office,2424cf73-8586-4fe8-a66e-068115c4f7ff
24a7b3fa-9b7e-4918-823f-c5ca0224730c,UKHO ID,11977,UK Hydrographic Office,24a7b3fa-9b7e-4918-823f-c5ca0224730c
25b91e80-4abe-4eed-8d45-4265c7fc7d4f,UKHO ID,12483,UK Hydrographic Office,25b91e80-4abe-4eed-8d45-4265c7fc7d4f
25cd5355-5cd4-471e-95c9-efa8517f57d3,UKHO ID,11665,UK Hydrographic Office,25cd5355-5cd4-471e-95c9-efa8517f57d3
2681d462-58eb-4ae9-b974-22106e1f6434,UKHO ID,8240,UK Hydrographic Office,2681d462-58eb-4ae9-b974-22106e1f6434
26b2e6b1-22ea-4119-b1ec-1d113cff6412,UKHO ID,12073,UK Hydrographic Office,26b2e6b1-22ea-4119-b1ec-1d113cff6412
2729900f-2254-48b3-9545-9ff1124bdefd,UKHO ID,8131,UK Hydrographic Office,2729900f-2254-48b3-9545-9ff1124bdefd
2762c1ac-e2f5-411d-9c11-e505b6ae5685,UKHO ID,12512,UK Hydrographic Office,2762c1ac-e2f5-411d-9c11-e505b6ae5685
286f2e7d-13ac-475a-8e84-ec63329d256d,UKHO ID,11987,UK Hydrographic Office,286f2e7d-13ac-475a-8e84-ec63329d256d
28839871-204d-478e-844d-2fff4ec0027a,UKHO ID,9913,UK Hydrographic Office,28839871-204d-478e-844d-2fff4ec0027a
2889236e-1974-47c7-82e9-09b603a93bd7,UKHO ID,7929,UK Hydrographic Office,2889236e-1974-47c7-82e9-09b603a93bd7
28c23168-856d-4f05-97ed-9d8e7ea24d25,UKHO ID,9970,UK Hydrographic Office,28c23168-856d-4f05-97ed-9d8e7ea24d25
29767ef7-1ec4-4421-b8dc-d6c3f59ea71b,UKHO ID,10013,UK Hydrographic Office,29767ef7-1ec4-4421-b8dc-d6c3f59ea71b
299ac627-ce55-4de8-b5d0-a654175f08a3,UKHO ID,8179,UK Hydrographic Office,299ac627-ce55-4de8-b5d0-a654175f08a3
29bef9e4-4193-4281-a7ea-20b62911dccd,UKHO ID,7406,UK Hydrographic Office,29bef9e4-4193-4281-a7ea-20b62911dccd
2a58d809-09e6-4a47-ab90-6fe3f0feb5d4,UKHO ID,9957,UK Hydrographic Office,2a58d809-09e6-4a47-ab90-6fe3f0feb5d4
2a5a46cc-8de7-4366-92ef-ebe991706d69,UKHO ID,7913,UK Hydrographic Office,2a5a46cc-8de7-4366-92ef-ebe991706d69
2a9bcff5-0ee2-463e-b590-170b7ee6103b,UKHO ID,12084,UK Hydrographic Office,2a9bcff5-0ee2-463e-b590-170b7ee6103b
2ad49ee7-fb9b-42a8-ae0c-5dc3556e5109,UKHO ID,12524,UK Hydrographic Office,2ad49ee7-fb9b-42a8-ae0c-5dc3556e5109
